"SB","binary","octal","hexadecimal"
"SB0822",1.10011110111111E+042,636773777777600,"67-5F-5F-7F-FF-60"
"SB0823",1.10100110111111E+042,646773776167600,"69-5F-5F-7C-77-60"
"SB0824",1.10001110111111E+042,616772777777600,"63-5F-57-7F-FF-60"
"SB0825",1.00110111111011E+039,46773777767600,"09-5F-5F-7F-F7-60"
"SB0826",1.10111110111111E+042,676772777767600,"6F-5F-57-7F-F7-60"
"SB0827",1.00110111111011E+039,46773777764600,"09-5F-5F-7F-F4-60"
"SB0828",1.10111110111111E+042,676773777773600,"6F-5F-5F-7F-FB-60"
"SB0829",1.10111110111111E+042,676773777775600,"6F-5F-5F-7F-FD-60"
"SB0830",1.11100011111111E+025,1707777000,"00-00-0F-0F-FF-00"
"SB0831",1.10111110111111E+042,676773777743600,"6F-5F-5F-7F-E3-60"
"SB0832",1.10100110111111E+042,646773777767600,"69-5F-5F-7F-F7-60"
"SB0833",1.10111110111111E+042,676773777737600,"6F-5F-5F-7F-DF-60"
"SB0834",1.10111110111111E+042,676773777756600,"6F-5F-5F-7F-EE-60"
"SB0835",1E+041,200003777357600,"20-00-1F-7E-EF-60"
"SB0836",1.10111110111111E+042,676773417777600,"6F-5F-5C-1F-FF-60"
"SB0837",1.10111110111111E+042,676773677743600,"6F-5F-5E-7F-E3-60"
"SB0838",1.10111110111111E+042,676773777757600,"6F-5F-5F-7F-EF-60"
"SB0839",1.10111110111111E+042,676773777753600,"6F-5F-5F-7F-EB-60"
"SB0840",1.1011111011111E+042,676760006067600,"6F-5F-00-0C-37-60"
"SB0841",1.10110010111111E+042,662773777777600,"6C-5F-5F-7F-FF-60"
"SB0842",1.10111110111111E+042,676773777771600,"6F-5F-5F-7F-F9-60"
"SB0843",1.10111110111111E+042,676773777766600,"6F-5F-5F-7F-F6-60"
"SB0844",1.10111110111111E+042,676773777075600,"6F-5F-5F-7E-3D-60"
"SB0845",1.10111110111111E+042,676770077777600,"6F-5F-40-7F-FF-60"
"SB0846",1.00001110111111E+042,416773777777000,"43-5F-5F-7F-FF-00"
"SB0847",1.11110111111011E+039,76773777777400,"0F-5F-5F-7F-FF-40"
"SB0848",1.10111110111011E+042,676733677777600,"6F-5D-5E-7F-FF-60"
"SB0849",1.10101110111111E+042,656773777777600,"6B-5F-5F-7F-FF-60"
"SB0850",1.10111110111111E+042,676773777637600,"6F-5F-5F-7F-9F-60"
"SB0851",1.10100110111111E+042,646773777767200,"69-5F-5F-7F-F7-20"
"SB0852",1.10111110111111E+042,676773777777200,"6F-5F-5F-7F-FF-20"
"SB0853",1.11110011111111E+025,1747777600,"00-00-0F-4F-FF-60"
"SB0854",1.1011111011111E+042,676763637767600,"6F-5F-1E-3F-F7-60"
"SB0855",1.10001110111111E+042,616773777775600,"63-5F-5F-7F-FD-60"
"SB0856",1.1011111011111E+042,676763777777600,"6F-5F-1F-7F-FF-60"
"SB0857",1.10111110111111E+042,676773777600600,"6F-5F-5F-7F-80-60"
"SB0858",1.10111110111111E+042,676773677763600,"6F-5F-5E-7F-F3-60"
"SB0859",1.10000000011111E+042,600373777777600,"60-0F-5F-7F-FF-60"
"SB0860",1.10111110111111E+042,676773777736600,"6F-5F-5F-7F-DE-60"
"SB0861",1.11110011111111E+025,1747777000,"00-00-0F-4F-FF-00"
"SB0862",1.10000110111111E+042,606773677747600,"61-5F-5E-7F-E7-60"
"SB0863",1.10111110111111E+042,676773017737600,"6F-5F-58-1F-DF-60"
"SB0864",1.10001110111111E+042,616773777757600,"63-5F-5F-7F-EF-60"
"SB0865",1.10111110111111E+042,676773737766600,"6F-5F-5F-3F-F6-60"
"SB0866",1E+041,200003770000000,"20-00-1F-70-00-00"
"SB0867",1.11110111111011E+039,76773777777600,"0F-5F-5F-7F-FF-60"
"SB0868",1.10001110111011E+042,616733777777600,"63-5D-5F-7F-FF-60"
"SB0869",1.10111110111111E+042,676773677774600,"6F-5F-5E-7F-FC-60"
"SB0870",1.10111110111111E+042,676773377777600,"6F-5F-5B-7F-FF-60"
"SB0871",1.10111110011111E+042,676373777777600,"6F-4F-5F-7F-FF-60"
"SB0872",1.1E+042,600003777777600,"60-00-1F-7F-FF-60"
"SB0873",1.10111100011111E+042,674373777777600,"6F-0F-5F-7F-FF-60"
"SB0874",1.11100010111111E+025,1705777600,"00-00-0F-0B-FF-60"
"SB0875",1.00001110111111E+042,416773777777600,"43-5F-5F-7F-FF-60"
"SB0876",1.11100111110111E+038,36373677777600,"07-4F-5E-7F-FF-60"
"SB0877",1.1011111011111E+042,676760000007600,"6F-5F-00-00-07-60"
"SB0878",1.10111110111111E+042,676773776003600,"6F-5F-5F-7C-03-60"
"SB0879",1.10111110111111E+042,676773777627600,"6F-5F-5F-7F-97-60"
"SB0880",1.10111100011111E+042,674373777774000,"6F-0F-5F-7F-FC-00"
"SB0881",1.10111110111111E+042,676773674037600,"6F-5F-5E-78-1F-60"
"SB0882",1.10111010111111E+042,672773777775600,"6E-5F-5F-7F-FD-60"
"SB0883",1.11011111101111E+037,16773777777600,"03-5F-5F-7F-FF-60"
"SB0884",1.1000111011E+042,616601777777600,"63-58-0F-7F-FF-60"
"SB0885",1.10000110111111E+042,606773777777600,"61-5F-5F-7F-FF-60"
"SB0886",1.10111110111111E+042,676773377757600,"6F-5F-5B-7F-EF-60"
"SB0887",1.1011001011111E+042,662763777417600,"6C-5F-1F-7F-0F-60"
"SB0888",1.10001100001111E+042,614173777777600,"63-07-5F-7F-FF-60"
"SB0889",1.10100010111101E+042,642753377777600,"68-5E-5B-7F-FF-60"
"SB0890",1.10001110111111E+042,616773777763600,"63-5F-5F-7F-F3-60"
"SB0891",1.10100100111111E+042,644773777767600,"69-1F-5F-7F-F7-60"
"SB0892",1.10111110111111E+042,676773764146600,"6F-5F-5F-68-66-60"
"SB0893",1.10001110111111E+042,616773777677600,"63-5F-5F-7F-BF-60"
"SB0894",1.10111110111111E+042,676773677761600,"6F-5F-5E-7F-F1-60"
"SB0895",1.10111110111001E+042,676713677767600,"6F-5C-5E-7F-F7-60"
"SB0896",1.10110110111111E+042,666773657777600,"6D-5F-5E-5F-FF-60"
"SB0897",1.10111110110111E+042,676673777777600,"6F-5B-5F-7F-FF-60"
"SB0898",1.10111110111111E+042,676773402017600,"6F-5F-5C-04-0F-60"
"SB0899",1.10111010111111E+042,672773776377600,"6E-5F-5F-7C-FF-60"
"SB0900",1E+042,400000017777600,"40-00-00-1F-FF-60"
"SB0901",1.10001110110111E+042,616673777777600,"63-5B-5F-7F-FF-60"
"SB0902",1.10001110111111E+042,616773777570600,"63-5F-5F-7F-78-60"
"SB0903",1.10001100000111E+042,614073607777600,"63-03-5E-0F-FF-60"
"SB0904",1.0111110101111E+041,276573737777600,"2F-57-5F-3F-FF-60"
"SB0905",1.10111110000011E+042,676033677777200,"6F-41-5E-7F-FF-20"
"SB0906",1.00000110111111E+042,406773777773600,"41-5F-5F-7F-FB-60"
"SB0907",1.10111110111111E+042,676773777747000,"6F-5F-5F-7F-E7-00"
"SB0908",1.10000110111111E+042,606773777775600,"61-5F-5F-7F-FD-60"
"SB0909",1.11110010111111E+025,1745777600,"00-00-0F-4B-FF-60"
"SB0910",1.10000110110111E+042,606673777777600,"61-5B-5F-7F-FF-60"
"SB0911",1.1011111011E+042,676600077777600,"6F-58-00-7F-FF-60"
"SB0912",1.10000010111111E+042,602773777000200,"60-5F-5F-7E-00-20"
"SB0913",1.10111110111111E+042,676773707777600,"6F-5F-5F-0F-FF-60"
"SB0914",1.10111110001111E+042,676173777777600,"6F-47-5F-7F-FF-60"
"SB0915",1.10001110111111E+042,616773777437200,"63-5F-5F-7F-1F-20"
"SB0916",1.10001010111111E+042,612773777777600,"62-5F-5F-7F-FF-60"
"SB0917",1.10110100000111E+042,664073377077600,"6D-03-5B-7E-3F-60"
"SB0918",1.10111110111111E+042,676773777767400,"6F-5F-5F-7F-F7-40"
"SB0919",1.1011111011E+042,676600377777600,"6F-58-03-7F-FF-60"
"SB0920",1.10111010111111E+042,672773777777600,"6E-5F-5F-7F-FF-60"
"SB0921",1.10111110111111E+042,676773777740200,"6F-5F-5F-7F-E0-20"
"SB0922",1.10000000000111E+042,600073777777600,"60-03-5F-7F-FF-60"
"SB0923",1.1011111011E+042,676603777777600,"6F-58-1F-7F-FF-60"
"SB0924",1.10111110111111E+042,676773777045600,"6F-5F-5F-7E-25-60"
"SB0925",1.00111110111111E+042,476773777743600,"4F-5F-5F-7F-E3-60"
"SB0926",1.10001110111111E+042,616772776377600,"63-5F-57-7C-FF-60"
"SB0927",1.10111110111111E+042,676773777377600,"6F-5F-5F-7E-FF-60"
"SB0928",1.0001111011111E+018,4367600,"00-00-00-08-F7-60"
"SB0929",1.10001100111111E+042,614772777777600,"63-1F-57-7F-FF-60"
"SB0930",1.10111110111111E+042,676773777717600,"6F-5F-5F-7F-CF-60"
"SB0931",1.10001110111111E+042,616773776163600,"63-5F-5F-7C-73-60"
"SB0932",1.1000000011E+042,600603777377600,"60-18-1F-7E-FF-60"
"SB0933",1.10000010111111E+042,602773777777400,"60-5F-5F-7F-FF-40"
