,name,sample,county,species,filename,pair,SB,SequenceName,ClusterNumber,clade
176,3091,3091,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3091_S38_L001-4_R1_001.fastq.gz,1,SB0140,3091,3,Monaghan-2
177,31-12952,31-12952,Wicklow,Deer,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/31-12952_S34_L001-4_R2_001.fastq.gz,1,SB0054,31-12952,5,Wicklow-1
178,3260,3260,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3260_S60_L001-4_R1_001.fastq.gz,1,SB0140,3260,3,Monaghan-2
179,3261,3261,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3261_S50_L001-4_R1_001.fastq.gz,1,SB0140,3261,3,Monaghan-2
180,3263,3263,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3263_S31_L001-4_R1_001.fastq.gz,1,SB0140,3263,3,Monaghan-2
181,3266,3266,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3266_S59_L001-4_R2_001.fastq.gz,1,SB0140,3266,3,Monaghan-2
182,3377,3377,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3377_S65_L001-4_R2_001.fastq.gz,1,SB0140,3377,3,Monaghan-2
183,3413,3413,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3413_S37_L001-4_R1_001.fastq.gz,1,SB0142,3413,6,Monaghan-3
184,343,343,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/343_S87_L001-4_R2_001.fastq.gz,1,SB0142,343,6,Monaghan-3
185,3437,3437,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3437_S43_L001-4_R2_001.fastq.gz,1,SB0142,3437,6,Monaghan-3
186,3480,3480,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3480_S12_L001-4_R2_001.fastq.gz,1,SB0142,3480,6,Monaghan-3
187,3495,3495,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3495_S76_L001-4_R2_001.fastq.gz,1,SB0142,3495,6,Monaghan-3
188,3496,3496,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3496_S83_L001-4_R2_001.fastq.gz,1,SB0980,3496,4,Monaghan-1
189,3497,3497,Monaghan,,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3497_S94_L001-4_R1_001.fastq.gz,1,SB0142,3497,6,Monaghan-3
190,35-MBovis,35-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/35-MBovis_S30_L001-4_R2_001.fastq.gz,1,SB0054,35-MBovis,5,Wicklow-1
191,356,356,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/356_S26_L001-4_R1_001.fastq.gz,1,SB0140,356,-1,Unknown
192,3582,3582,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3582_S64_L001-4_R2_001.fastq.gz,1,SB0142,3582,6,Monaghan-3
193,36-MBovis,36-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/36-MBovis_S38_L001-4_R1_001.fastq.gz,1,SB0054,36-MBovis,5,Wicklow-1
194,362p,362p,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/362p_S18_L001-4_R2_001.fastq.gz,1,SB0142,362p,6,Monaghan-3
195,365,365,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/365_S86_L001-4_R2_001.fastq.gz,1,SB0140,365,3,Monaghan-2
196,37-MBovis,37-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/37-MBovis_S6_L001-4_R1_001.fastq.gz,1,SB0054,37-MBovis,5,Wicklow-1
197,3738,3738,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3738_S61_L001-4_R2_001.fastq.gz,1,SB0140,3738,3,Monaghan-2
198,3747,3747,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3747_S48_L001-4_R1_001.fastq.gz,1,SB0140,3747,3,Monaghan-2
199,3762,3762,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3762_S84_L001-4_R1_001.fastq.gz,1,SB0980,3762,4,Monaghan-1
200,38-MBovis,38-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/38-MBovis_S34_L001-4_R1_001.fastq.gz,1,SB0054,38-MBovis,5,Wicklow-1
201,3825,3825,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3825_S62_L001-4_R2_001.fastq.gz,1,SB0140,3825,3,Monaghan-2
202,39-MBovis,39-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/39-MBovis_S27_L001-4_R1_001.fastq.gz,1,,39-MBovis,5,Wicklow-1
203,3958,3958,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3958_S20_L001-4_R2_001.fastq.gz,1,SB0142,3958,6,Monaghan-3
204,41-2165,41-2165,Wicklow,Badger,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/41-2165_S91_L001-4_R2_001.fastq.gz,1,SB0054,41-2165,5,Wicklow-1
205,41-MBovis,41-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/41-MBovis_S39_L001-4_R1_001.fastq.gz,1,SB0054,41-MBovis,5,Wicklow-1
206,42-MBovis,42-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/42-MBovis_S28_L001-4_R1_001.fastq.gz,1,SB0054,42-MBovis,5,Wicklow-1
207,4238,4238,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/4238_S9_L001-4_R2_001.fastq.gz,1,SB0142,4238,6,Monaghan-3
208,43-MBovis,43-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/43-MBovis_S11_L001-4_R2_001.fastq.gz,1,SB0054,43-MBovis,5,Wicklow-1
209,44-MBovis,44-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/44-MBovis_S16_L001-4_R1_001.fastq.gz,1,SB0054,44-MBovis,5,Wicklow-1
210,45-MBovis,45-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/45-MBovis_S22_L001-4_R1_001.fastq.gz,1,SB0054,45-MBovis,5,Wicklow-1
211,459p,459p,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/459p_S73_L001-4_R2_001.fastq.gz,1,SB0142,459p,6,Monaghan-3
212,461,461,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/461_S90_L001-4_R1_001.fastq.gz,1,SB0129,461,-1,Unknown
213,47-MBovis,47-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/47-MBovis_S8_L001-4_R1_001.fastq.gz,1,SB0054,47-MBovis,5,Wicklow-1
