SB,binary,octal,hexadecimal
SB1184,1101101101011110111111111111111111111100000,666573777777600,6D-57-5F-7F-FF-60
SB1185,1101111101011110111001111111111111111100000,676573477777600,6F-57-5C-7F-FF-60
SB1186,1101101000001110111111111111111111011100000,664073777775600,6D-03-5F-7F-FD-60
SB1187,1101101000001110111111111111111111010100000,664073777775200,6D-03-5F-7F-FD-20
SB1188,1101111101111100011101111111111111111100000,676761677777600,6F-5F-0E-7F-FF-60
SB1189,1000000000000000000001111111001111111100000,400000077477600,40-00-00-7F-3F-60
SB1190,1001111101111110111101111111111111110100000,476773677777200,4F-5F-5E-7F-FF-20
SB1191,1101111101100010111101111111111111111100000,676613677777600,6F-58-5E-7F-FF-60
SB1192,1101111101111110111100011111111000111100000,676773617743600,6F-5F-5E-1F-E3-60
SB1193,1101111101101110111101111000011111111100000,676673674177600,6F-5B-5E-78-7F-60
SB1194,1101111101111010111101111111111100111100000,676753677763600,6F-5E-5E-7F-F3-60
SB1195,1101011101111110111101111111111111111100000,656773677777600,6B-5F-5E-7F-FF-60
SB1196,1101111101101110111111011111011111111100000,676673757577600,6F-5B-5F-5F-7F-60
SB1197,1101111001101110111111011111111111111100000,674673757777600,6F-1B-5F-5F-FF-60
SB1198,1101111000001110111111011111111111111100000,674073757777600,6F-03-5F-5F-FF-60
SB1199,0100000000000000110001111110111111111100000,200003077377600,20-00-18-7E-FF-60
SB1200,1101111101111110111111111110011111111100000,676773777177600,6F-5F-5F-7E-7F-60
SB1201,0100000000000100111111111110100111111100000,200023777237600,20-01-1F-7E-9F-60
SB1202,1101111101110110111111111100000000111100000,676733776003600,6F-5D-5F-7C-03-60
SB1203,0100000000000000111111111110100111111100000,200003777237600,20-00-1F-7E-9F-60
SB1204,1101111101111100111111111111111101111100000,676763777767600,6F-5F-1F-7F-F7-60
SB1205,1101111100110000111111111111111111111100000,676303777777600,6F-4C-1F-7F-FF-60
SB1206,1101100101111110111111111111001111111100000,662773777477600,6C-5F-5F-7F-3F-60
SB1207,1101100101111100111111111111111111111100000,662763777777600,6C-5F-1F-7F-FF-60
SB1208,1101101101111100111111111111111111111100000,666763777777600,6D-5F-1F-7F-FF-60
SB1209,1101111001111100111111111111111111111100000,674763777777600,6F-1F-1F-7F-FF-60
SB1210,0101001100001110111111111111111111111100000,246073777777600,29-43-5F-7F-FF-60
SB1211,1101000000000010110000011111111111111100000,640013017777600,68-00-58-1F-FF-60
SB1212,1101000000000100111111111111111111011100000,640023777775600,68-01-1F-7F-FD-60
SB1213,1101000000000110110111111111111111111100000,640033377777600,68-01-5B-7F-FF-60
SB1214,1101111101011100111111111111111111101100000,676563777776600,6F-57-1F-7F-FE-60
SB1215,1101111000001010111111111111111111111100000,674053777777600,6F-02-5F-7F-FF-60
SB1216,0001111101011110111111111110001111111100000,076573777077600,0F-57-5F-7E-3F-60
SB1217,0000000000000100011110001111111111111100000,000021707777600,00-01-0F-0F-FF-60
SB1218,1101111101111110100001111111111111111100000,676772077777600,6F-5F-50-7F-FF-60
SB1219,0001011101000100111101111111000000101100000,056423677402600,0B-51-1E-7F-02-60
SB1220,0001011101000110111101111111000001001100000,056433677404600,0B-51-5E-7F-04-60
SB1221,1000000101110010111101111001111111111100000,402713674777600,40-5C-5E-79-FF-60
SB1222,1000000101111000111100111111111001101100000,402743637746600,40-5E-1E-3F-E6-60
SB1223,1000000101111000111101111111111111111100000,402743677777600,40-5E-1E-7F-FF-60
SB1224,1000000101111100111100111111111001111100000,402763637747600,40-5F-1E-3F-E7-60
SB1225,1000000101111100111101111111111111111100000,402763677777600,40-5F-1E-7F-FF-60
SB1226,1000000101111110111101111111111111111100000,402773677777600,40-5F-5E-7F-FF-60
SB1227,1000010000100000111000110001101001000100000,410203430644200,42-08-1C-31-A4-20
SB1228,1000011101111000111100111111111001101100000,416743637746600,43-5E-1E-3F-E6-60
SB1229,1001101000001100111101111111111111111100000,464063677777600,4D-03-1E-7F-FF-60
SB1230,1101111000000110111101111111111111110100000,674033677777200,6F-01-5E-7F-FF-20
SB1231,1101111101111110111111111111111111001100000,676773777774600,6F-5F-5F-7F-FC-60
SB1232,1100111101110110111111111111111111111100000,636733777777600,67-5D-5F-7F-FF-60
